transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud
tx_000000,2026-01-27 08:04:59.123794,sender_0000,receiver_0000,7.84,withdrawal,restaurant,Houston,mobile,0
tx_000001,2026-01-27 10:51:13.123794,sender_0001,receiver_0001,8.57,payment,retail,NYC,web,0
tx_000002,2026-01-28 22:11:59.123794,sender_0002,receiver_0002,18.08,transfer,grocery,Chicago,mobile,0
tx_000003,2026-01-21 05:52:12.123794,sender_0003,receiver_0003,31.5,transfer,restaurant,Philadelphia,mobile,0
tx_000004,2026-01-02 22:17:37.123794,sender_0004,receiver_0004,86.28,withdrawal,restaurant,LA,mobile,0
tx_000005,2026-01-10 03:02:49.123794,sender_0005,receiver_0005,16.42,payment,grocery,Philadelphia,mobile,0
tx_000006,2026-01-27 12:21:18.123794,sender_0006,receiver_0006,83.15,deposit,grocery,LA,mobile,0
tx_000007,2026-01-19 19:46:35.123794,sender_0007,receiver_0007,93.98,transfer,online,Philadelphia,atm,0
tx_000008,2026-01-24 20:07:43.123794,sender_0008,receiver_0008,67.7,transfer,grocery,Chicago,mobile,0
tx_000009,2026-01-14 19:14:23.123794,sender_0009,receiver_0009,10.04,transfer,grocery,San Antonio,web,0
tx_000010,2026-01-27 22:52:24.123794,sender_0010,receiver_0010,110.14,payment,gas,NYC,atm,0
tx_000011,2026-01-16 00:05:00.123794,sender_0011,receiver_0011,1238.81,transfer,grocery,Chicago,mobile,0
tx_000012,2026-01-04 20:55:56.123794,sender_0012,receiver_0012,78.95,transfer,restaurant,Chicago,pos,0
tx_000013,2026-01-26 09:37:11.123794,sender_0013,receiver_0013,0.65,payment,grocery,Chicago,pos,0
tx_000014,2026-01-05 11:09:14.123794,sender_0014,receiver_0014,351.19,payment,gas,Chicago,mobile,0
tx_000015,2026-01-10 18:19:50.123794,sender_0015,receiver_0015,19.03,transfer,online,Chicago,pos,0
tx_000016,2026-01-17 12:20:44.123794,sender_0016,receiver_0016,1633.65,payment,online,San Diego,web,0
tx_000017,2026-01-22 02:28:00.123794,sender_0017,receiver_0017,65.01,withdrawal,restaurant,NYC,mobile,0
tx_000018,2026-01-05 10:30:58.123794,sender_0018,receiver_0018,4.36,transfer,grocery,San Antonio,web,0
tx_000019,2026-01-22 18:46:02.123794,sender_0019,receiver_0019,2.47,transfer,online,Houston,web,0
tx_000020,2026-01-10 19:35:32.123794,sender_0020,receiver_0020,549.83,transfer,grocery,Chicago,web,0
tx_000021,2026-01-02 20:22:24.123794,sender_0021,receiver_0021,286.82,withdrawal,grocery,Phoenix,atm,0
tx_000022,2026-01-16 06:25:41.123794,sender_0022,receiver_0022,1539.22,withdrawal,online,San Diego,mobile,0
tx_000023,2026-01-28 01:32:00.123794,sender_0023,receiver_0023,55.5,transfer,retail,Chicago,pos,0
tx_000024,2026-01-17 19:26:54.123794,sender_0024,receiver_0024,50.16,transfer,restaurant,San Diego,pos,0
tx_000025,2026-01-18 16:07:54.123794,sender_0025,receiver_0025,30.75,withdrawal,grocery,NYC,atm,0
tx_000026,2026-01-13 02:30:25.123794,sender_0026,receiver_0026,20.34,deposit,retail,Philadelphia,mobile,0
tx_000027,2026-01-16 02:49:20.123794,sender_0027,receiver_0027,68.2218844619218,payment,grocery,LA,web,1
tx_000028,2026-01-31 13:16:13.123794,sender_0028,receiver_0028,75.66,deposit,retail,Chicago,atm,0
tx_000029,2026-01-12 02:23:49.123794,sender_0029,receiver_0029,46.7441149862798,payment,restaurant,Phoenix,pos,1
tx_000030,2026-01-19 13:52:31.123794,sender_0030,receiver_0030,4.46,withdrawal,restaurant,Houston,pos,0
tx_000031,2026-01-27 17:44:31.123794,sender_0031,receiver_0031,69.4,transfer,restaurant,Chicago,pos,0
tx_000032,2026-01-23 20:51:15.123794,sender_0032,receiver_0032,14.89,payment,entertainment,LA,mobile,0
tx_000033,2026-01-09 05:33:20.123794,sender_0033,receiver_0033,0.42,transfer,retail,Phoenix,pos,0
tx_000034,2026-01-07 18:03:44.123794,sender_0034,receiver_0034,125.07,withdrawal,restaurant,Houston,mobile,0
tx_000035,2026-01-09 03:42:12.123794,sender_0035,receiver_0035,10.36,deposit,online,LA,mobile,0
tx_000036,2026-01-19 00:35:31.123794,sender_0036,receiver_0036,147.33,payment,online,LA,mobile,0
tx_000037,2026-01-02 09:55:14.123794,sender_0037,receiver_0037,142.13,transfer,online,San Antonio,pos,0
tx_000038,2026-01-02 15:10:43.123794,sender_0038,receiver_0038,83.54,transfer,retail,San Antonio,pos,0
tx_000039,2026-01-12 16:27:46.123794,sender_0039,receiver_0039,2310.52,transfer,grocery,LA,mobile,0
tx_000040,2026-01-24 06:32:23.123794,sender_0040,receiver_0040,44.39,transfer,gas,LA,mobile,0
tx_000041,2026-01-29 14:49:31.123794,sender_0041,receiver_0041,35.57,payment,entertainment,LA,pos,0
tx_000042,2026-01-29 02:11:19.123794,sender_0042,receiver_0042,152.25,deposit,retail,San Diego,web,0
tx_000043,2026-01-29 18:12:57.123794,sender_0043,receiver_0043,50.24,transfer,grocery,San Antonio,web,0
tx_000044,2026-01-07 18:22:47.123794,sender_0044,receiver_0044,311.29,transfer,gas,NYC,web,0
tx_000045,2026-01-31 14:10:33.123794,sender_0045,receiver_0045,8.14,payment,entertainment,San Diego,web,0
tx_000046,2026-01-16 18:16:45.123794,sender_0046,receiver_0046,8.35,transfer,restaurant,NYC,pos,0
tx_000047,2026-01-31 09:39:55.123794,sender_0047,receiver_0047,172.21,withdrawal,online,LA,mobile,0
tx_000048,2026-01-29 23:16:38.123794,sender_0048,receiver_0048,9.51,transfer,grocery,San Diego,mobile,0
